UnitCode,UnitName,Faculty
ATS1111,Indonesian 1: Biographies,arts
ATS1112,Indonesian 2: Journeys and cultural encounters,arts
ATS1141,Japanese introductory 1,arts
ATS1142,Japanese introductory 2,arts
ATS1171,Korean introductory 1,arts
ATS1172,Korean introductory 2,arts
ATS1189,Acting 1: Theory and practice,arts
ATS1190,Acting 2: Theory and practice,arts
ATS1191,Spanish introductory 1,arts
ATS1192,Spanish introductory 2,arts
ATS1203,"Magic, science and spirituality",arts
ATS1211,Ukrainian introductory 1,arts
ATS1212,Ukrainian introductory 2,arts
ATS1221,Italian introductory 1,arts
ATS1222,Italian introductory 2,arts
ATS1229,Intensive introductory Italian 1 (in country),arts
ATS1230,Intensive introductory Italian 2 (in country),arts
ATS1247,Ancient cultures 1,arts
ATS1248,Ancient cultures 2,arts
ATS1250,Social justice and Indigenous Australians,arts
ATS1254,"Culture, power and difference: Indigeneity and Australian identity",arts
ATS1255,Encountering cultures: Introduction to anthropology 1,arts
ATS1259,"Exploring contemporary Australia: People, events, ideas",arts
ATS1261,Understanding human behaviour,arts
ATS1262,Understanding social behaviour,arts
ATS1263,Bioethics: Current controversies,arts
ATS1264,"Bioethics, justice and the law",arts
ATS1267,Latin language 1,arts
ATS1269,Latin language 2,arts
ATS1279,Media and culture,arts
ATS1280,Understanding the media,arts
ATS1281,Understanding crime: An introduction,arts
ATS1282,Criminal justice: An introduction,arts
ATS1287,Performance in context 1,arts
ATS1288,Performance in context 2,arts
ATS1291,Communication in international languages,arts
ATS1292,Englishes for global communication,arts
ATS1297,Academic writing,arts
ATS1298,Professional writing,arts
ATS1304,Introduction to television studies,arts
ATS1305,Introduction to film studies,arts
ATS1309,The Global challenge,arts
ATS1310,Extreme earth! Natural hazards and human vulnerability,arts
ATS1314,Human rights theory 1,arts
ATS1315,Human rights theory 2,arts
ATS1316,Medieval Europe,arts
ATS1317,Renaissance Europe,arts
ATS1319,Global Asia,arts
ATS1320,Nations at war: Revolution and empire,arts
ATS1321,Nations at war: The twentieth century,arts
ATS1322,"Conflict and coexistence 1: Jews, Christians and Muslims from antiquity through the middle ages",arts
ATS1325,Contemporary worlds 1,arts
ATS1326,Contemporary worlds 2,arts
ATS1336,"Yiddish language, culture and literature 1A",arts
ATS1337,"Yiddish language, culture and literature 1B",arts
